Material Name,Material Code,Item Category,Item Group,UOM
1/2 INCH X 1 INCH CP EXTENSION NIPPLE,1/2 INCH X 1 INCH CP EXTENSION NIPPLE,INDIGENOUS,PROJECT MATERIALS,NOS
1/2 INCH X 4 INCH CP EXTENSION NIPPLE,1/2 INCH X 4 INCH CP EXTENSION NIPPLE,INDIGENOUS,PROJECT MATERIALS,NOS
10 A MODULAR SOCKETS MAGNESIUM GRY COLOUR (LEGRAND ARTEOR MAKE),10 A MODULAR SOCKETS MAGNESIUM GRY COLOUR (LEGRAND ARTEOR MAKE),INDIGENOUS,PROJECT MATERIALS,NOS
10 A MODULAR SOCKETS WHITE COLOUR (LEGRAND ARTEOR MAKE),10 A MODULAR SOCKETS WHITE COLOUR (LEGRAND ARTEOR MAKE),INDIGENOUS,PROJECT MATERIALS,NOS
10 A MODULAR SWITCHES MAGNESIUM GRY COLOUR (LEGRAND ARTEOR MAKE),10 A MODULAR SWITCHES MAGNESIUM GRY COLOUR (LEGRAND ARTEOR MAKE),INDIGENOUS,PROJECT MATERIALS,NOS
10 A MODULAR SWITCHES WHITE COLOUR (LEGRAND ARTEOR MAKE),10 A MODULAR SWITCHES WHITE COLOUR (LEGRAND ARTEOR MAKE),INDIGENOUS,PROJECT MATERIALS,NOS
10 MM CLASSIC RUBBER TILES,10 MM CLASSIC RUBBER TILES,INDIGENOUS,PROJECT MATERIALS,SFT
10 MM THICK CLEAR GLASS,10 MM THICK CLEAR GLASS,INDIGENOUS,PROJECT MATERIALS,SFT
10 SQ MM X 4 CORE CABLE GLAND (DOUBLE SLEEVE),10 SQ MM X 4 CORE CABLE GLAND (DOUBLE SLEEVE),INDIGENOUS,PROJECT MATERIALS,NOS
100 MM MS SEAMLESS PIPE ZINDAL/SCHEDULE 40,100 MM MS SEAMLESS PIPE ZINDAL/SCHEDULE 40,INDIGENOUS,PROJECT MATERIALS,MTRS
1000 kg/h Glazing /Hardning Line for shrimps,1000 kg/h Glazing /Hardning Line for shrimps,IMPORTED,PROJECT MATERIALS,NOS
101 HARVEST ORIGINAL LEATHER,101 HARVEST ORIGINAL LEATHER,INDIGENOUS,PROJECT MATERIALS,SFT
10MM GLASS SLIDING DOORS,10MM GLASS SLIDING DOORS,INDIGENOUS,PROJECT MATERIALS,SQMTRS
11 MM PVC CABLE GLAND,11 MM PVC CABLE GLAND,INDIGENOUS,PROJECT MATERIALS,NOS
11KV 630A PORCILEN OUTDOOR VCB,11KV 630A PORCILEN OUTDOOR VCB,INDIGENOUS,PROJECT MATERIALS,NOS
11KV XLPE 120S.Q MM 3 CORE CABLE,11KV XLPE 120S.Q MM 3 CORE CABLE,INDIGENOUS,PROJECT MATERIALS,MTRS
12 CHANNEL RELAY MODULAR SAH/S16.6.7.1 ABB,12 CHANNEL RELAY MODULAR SAH/S16.6.7.1 ABB,INDIGENOUS,PROJECT MATERIALS,NOS
120 BORDEAX ORIGINAL LEATHER,120 BORDEAX ORIGINAL LEATHER,INDIGENOUS,PROJECT MATERIALS,SFT
120 SQ MM X 3 1/2 CORE CABLE GLAND (DOUBLE SLEEVE),120 SQ MM X 3 1/2 CORE CABLE GLAND (DOUBLE SLEEVE),INDIGENOUS,PROJECT MATERIALS,NOS
120 SQ MM X 3 1/2 CORE PVC CABLE GLAND (DOUBLE SLEEVE),120 SQ MM X 3 1/2 CORE PVC CABLE GLAND (DOUBLE SLEEVE),INDIGENOUS,PROJECT MATERIALS,NOS
120 SQ.MM X 3 1/2 CORE AL ARMOUD CABLE(UNIVERSAL),120 SQ.MM X 3 1/2 CORE AL ARMOUD CABLE(UNIVERSAL),INDIGENOUS,PROJECT MATERIALS,MTRS
"125 A 4 POLE CHANGE OVER SWITCH W/O ENCLOSURE, HPL (PRO)","125 A 4 POLE CHANGE OVER SWITCH W/O ENCLOSURE, HPL (PRO)",INDIGENOUS,PROJECT MATERIALS,NOS
125 MM MS SEAMLESS PIPE ZINDAL/SCHEDULE 40,125 MM MS SEAMLESS PIPE ZINDAL/SCHEDULE 40,INDIGENOUS,PROJECT MATERIALS,MTRS
12MM CLEAR TOUGHNED FACADE GLASS,12MM CLEAR TOUGHNED FACADE GLASS,INDIGENOUS,PROJECT MATERIALS,SQMTRS
12MM CLEAR TOUGHNED GLASS,12MM CLEAR TOUGHNED GLASS,INDIGENOUS,PROJECT MATERIALS,SQMTRS
14583 VENEER LAMINET,14583 VENEER LAMINET,INDIGENOUS,PROJECT MATERIALS,NOS
148 B 3746 NEELDLE VALVE(DANFOSS),148 B 3746 NEELDLE VALVE(DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
148 B 3778 NEELDLE VALVE(DANFOSS),148 B 3778 NEELDLE VALVE(DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
148 B 387200 STL STOP VALVE 40 MM (DANFOSS),148 B 387200 STL STOP VALVE 40 MM (DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
148 B 4338 STC 15 VALVE(DANFOSS),148 B 4338 STC 15 VALVE(DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
148 B 4342 STC 20 VALVE(DANFOSS),148 B 4342 STC 20 VALVE(DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
148 B 4346 STC 25 VALVE(DANFOSS),148 B 4346 STC 25 VALVE(DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
148 B 4350 STC 32 VALVE(DANFOSS),148 B 4350 STC 32 VALVE(DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
148 B 4358 STC 50 VALVE(DANFOSS),148 B 4358 STC 50 VALVE(DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
148 B 4362 STC 65 VALVE(DANFOSS),148 B 4362 STC 65 VALVE(DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
148 B 4366 STC 80 VALVE(DANFOSS),148 B 4366 STC 80 VALVE(DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
148 B 4370 STC 100 VALVE(DANFOSS),148 B 4370 STC 100 VALVE(DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
148 B 4374 STC 125 VALVE(DANFOSS),148 B 4374 STC 125 VALVE(DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
148 B 4378 STC 150 VALVE(DANFOSS),148 B 4378 STC 150 VALVE(DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
148 G 3284 REG 20 (DANFOSS),148 G 3284 REG 20 (DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
148 G 3301 OREG 32 (DANFOSS),148 G 3301 OREG 32 (DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
148 H 3097 +148 H 3124 FIA 15 (DANFOSS),148 H 3097 +148 H 3124 FIA 15 (DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
148 H 3098 +148 H 3124 FIA 20 (DANFOSS),148 H 3098 +148 H 3124 FIA 20 (DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
148 H 3099 +148 H 3125 FIA 25 MM (DANFOSS),148 H 3099 +148 H 3125 FIA 25 MM (DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
148 H 3100 +148 H 3125 FIA 32 (DANFOSS),148 H 3100 +148 H 3125 FIA 32 (DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
148 H 3194 AKS 38 (DANFOSS),148 H 3194 AKS 38 (DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
148 H 3310 OIL DRAIN VALVE WITH STOP VALVE (DANFOSS),148 H 3310 OIL DRAIN VALVE WITH STOP VALVE (DANFOSS),INDIGENOUS,PROJECT MATERIALS,NOS
15 KVA UPS ONLINE,15 KVA UPS ONLINE,INDIGENOUS,PROJECT MATERIALS,NOS
150 MM MS SEAMLESS PIPE ZINDAL/SCHEDULE 40,150 MM MS SEAMLESS PIPE ZINDAL/SCHEDULE 40,INDIGENOUS,PROJECT MATERIALS,MTRS
150 SQ MM X 3 1/2 CORE CABLE GLAND (DOUBLE SLEEVE),150 SQ MM X 3 1/2 CORE CABLE GLAND (DOUBLE SLEEVE),INDIGENOUS,PROJECT MATERIALS,NOS
150 SQ MM X 3 1/2 CORE PVC CABLE GLAND (DOUBLE SLEEVE),150 SQ MM X 3 1/2 CORE PVC CABLE GLAND (DOUBLE SLEEVE),INDIGENOUS,PROJECT MATERIALS,NOS
150 SQ.MM. X 3 1/2 ALUMINIUM ARMOUD CABLE,150 SQ.MM. X 3 1/2 ALUMINIUM ARMOUD CABLE,INDIGENOUS,PROJECT MATERIALS,MTRS
16 INCH V GREW C3 PULLY,16 INCH V GREW C3 PULLY,INDIGENOUS,PROJECT MATERIALS,NOS
16 MM PVC CABLE GLAND,16 MM PVC CABLE GLAND,INDIGENOUS,PROJECT MATERIALS,NOS
16 S.Q MM ALU.LUGS,16 S.Q MM ALU.LUGS,INDIGENOUS,PROJECT MATERIALS,NOS
16 SQ MM 4 CORE ALLUMINIUM ARMOURED CABLE,16 SQ MM 4 CORE ALLUMINIUM ARMOURED CABLE,INDIGENOUS,PROJECT MATERIALS,MTRS
18 MM PVC CABLE GLAND,18 MM PVC CABLE GLAND,INDIGENOUS,PROJECT MATERIALS,NOS
185 SQ MM X 3 1/2 CORE CABLE GLAND (DOUBLE SLEEVE),185 SQ MM X 3 1/2 CORE CABLE GLAND (DOUBLE SLEEVE),INDIGENOUS,PROJECT MATERIALS,NOS
185 SQ MM X 3 1/2 CORE COPPER ARMOUD CABLE,185 SQ MM X 3 1/2 CORE COPPER ARMOUD CABLE,INDIGENOUS,PROJECT MATERIALS,MTRS
18W SKY COB TILT LED SPOTLIGHT (NW),18W SKY COB TILT LED SPOTLIGHT (NW),INDIGENOUS,PROJECT MATERIALS,NOS
2 DRAWER IN MATT LACQUER WITH DIAMOND CLEAR LED MIRROR WIDTH 4 FT X HIGHT 7 FT,2 DRAWER IN MATT LACQUER WITH DIAMOND CLEAR LED MIRROR WIDTH 4 FT X HIGHT 7 FT,INDIGENOUS,PROJECT MATERIALS,NOS
2 MODULAR SWITCH BOARD MAGNESIUM GRY COLOUR (LEGRAND ARTEOR MAKE),2 MODULAR SWITCH BOARD MAGNESIUM GRY COLOUR (LEGRAND ARTEOR MAKE),INDIGENOUS,PROJECT MATERIALS,NOS
2 MODULAR SWITCH BOARDÂ  WHITE COLOUR (LEGRAND ARTEOR MAKE),2 MODULAR SWITCH BOARDÂ  WHITE COLOUR (LEGRAND ARTEOR MAKE),INDIGENOUS,PROJECT MATERIALS,NOS
2 WAY SWITCH,2 WAY SWITCH,INDIGENOUS,PROJECT MATERIALS,NOS
2.5 SQ MM CONNECTOR STRIP,2.5 SQ MM CONNECTOR STRIP,INDIGENOUS,PROJECT MATERIALS,NOS
2.5 SQ MM FERRULES 0-9,2.5 SQ MM FERRULES 0-9,INDIGENOUS,PROJECT MATERIALS,Set
2.5 SQ MM FERRULES A-Z,2.5 SQ MM FERRULES A-Z,INDIGENOUS,PROJECT MATERIALS,Set
2.5 SQMM COPPER WIRE,2.5 SQMM COPPER WIRE,INDIGENOUS,PROJECT MATERIALS,COIL
2.5T 2P SW WITH I-65 SASH 6MM CLEAR GLASS SLIDING WINDOW SS MESH WITH TOUCH LOCK W-6.50 X H-4.5,2.5T 2P SW WITH I-65 SASH 6MM CLEAR GLASS SLIDING WINDOW SS MESH WITH TOUCH LOCK W-6.50 X H-4.5,INDIGENOUS,PROJECT MATERIALS,SFT
2.5T 2P SW WITH SASH 6MM CLEAR GLASS SLIDING WINDOW SS MESH WITH TOUCH LOCK W- 3.50 X H-4.25,2.5T 2P SW WITH SASH 6MM CLEAR GLASS SLIDING WINDOW SS MESH WITH TOUCH LOCK W- 3.50 X H-4.25,INDIGENOUS,PROJECT MATERIALS,SFT
2.5T 2P SW WITH SASH SLIDING WINDOW (OPT-1 ) GOLDEN OAK 6MM CLEAR GLASS SS MESH WITH TOUCH LOCK W-3.,2.5T 2P SW WITH SASH SLIDING WINDOW (OPT-1 ) GOLDEN OAK 6MM CLEAR GLASS SS MESH WITH TOUCH LOCK W-3.,INDIGENOUS,PROJECT MATERIALS,SFT
20 A MODULAR SOCKETS MAGNESIUM GRY COLOUR (LEGRAND ARTEOR MAKE),20 A MODULAR SOCKETS MAGNESIUM GRY COLOUR (LEGRAND ARTEOR MAKE),INDIGENOUS,PROJECT MATERIALS,NOS
20 A MODULAR SWITCHES MAGNESIUM GRY COLOUR (LEGRAND ARTEOR MAKE),20 A MODULAR SWITCHES MAGNESIUM GRY COLOUR (LEGRAND ARTEOR MAKE),INDIGENOUS,PROJECT MATERIALS,NOS
20 MM MS SEAMLESS PIPE ZINDAL/SCHEDULE 40,20 MM MS SEAMLESS PIPE ZINDAL/SCHEDULE 40,INDIGENOUS,PROJECT MATERIALS,MTRS
20 TOPHUNG 6MM FROSTED TOUGHENED V1A 2F TOILET V1A,20 TOPHUNG 6MM FROSTED TOUGHENED V1A 2F TOILET V1A,INDIGENOUS,PROJECT MATERIALS,NOS
200 MM MS SEAMLESS PIPE ZINDAL/SCHEDULE 40,200 MM MS SEAMLESS PIPE ZINDAL/SCHEDULE 40,INDIGENOUS,PROJECT MATERIALS,MTRS
200KVAR APFC PANEL WITH CAPACITORS,200KVAR APFC PANEL WITH CAPACITORS,INDIGENOUS,PROJECT MATERIALS,NOS
21 MM PVC CABLE GLAND,21 MM PVC CABLE GLAND,INDIGENOUS,PROJECT MATERIALS,NOS
21.52MM THK LAMINATED FIN GLASS,21.52MM THK LAMINATED FIN GLASS,INDIGENOUS,PROJECT MATERIALS,SQMTRS
24PORT LIU BLUE LOADED,24PORT LIU BLUE LOADED,INDIGENOUS,PROJECT MATERIALS,NOS
