Material Name,Material Code,Item Category,Item Group,UOM
BIOMETRIC LOCKS,BIOMETRIC LOCKS,INDIGENOUS,PROJECT MATERIALS,NOS
BLACK ACRYLIC SHEET 6X4X6 MM,BLACK ACRYLIC SHEET 6X4X6 MM,INDIGENOUS,PROJECT MATERIALS,NOS
BLACK AND WHITE - CNC HAND CHISSELED,BLACK AND WHITE - CNC HAND CHISSELED,INDIGENOUS,PROJECT MATERIALS,SFT
BLACK GRANITE,BLACK GRANITE,INDIGENOUS,PROJECT MATERIALS,SFT
BLACK PIGMENTS,BLACK PIGMENTS,INDIGENOUS,PROJECT MATERIALS,KGS
BLOCK SETTING TABLE WITH CONVEYOR SYSTEM,BLOCK SETTING TABLE WITH CONVEYOR SYSTEM,INDIGENOUS,PROJECT MATERIALS,NOS
BOLTS AND NUT MS 3/4INCH X 2INCH,BOLTS AND NUT MS 3/4INCH X 2INCH,INDIGENOUS,PROJECT MATERIALS,NOS
BONA SPRAY MOT SET,BONA SPRAY MOT SET,INDIGENOUS,PROJECT MATERIALS,NOS
BOOK RACK 3600 X 3000MM IMPORTED METAL SUPPORT SYSTEM WITH VENEER FINISH SHELFS AND DRAW/CABINET WIT,BOOK RACK 3600 X 3000MM IMPORTED METAL SUPPORT SYSTEM WITH VENEER FINISH SHELFS AND DRAW/CABINET WIT,INDIGENOUS,PROJECT MATERIALS,NOS
BOOK SHELF WITH STUDY TABLE 3962 X 457 X HT 3962MM METAL RODS AS APPROVED WITH VENEER FASCIA METAL R,BOOK SHELF WITH STUDY TABLE 3962 X 457 X HT 3962MM METAL RODS AS APPROVED WITH VENEER FASCIA METAL R,INDIGENOUS,PROJECT MATERIALS,NOS
BOTTOM FLASHING- OFF WHITE - L-2.50 MTR XÂ  0.50 THICK,BOTTOM FLASHING- OFF WHITE - L-2.50 MTR XÂ  0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
BOWERS AND WILKINS (B / W) CCM 382 TWO WAY IN-CEILING LOUDSPEAKER - 8 OHM,BOWERS AND WILKINS (B / W) CCM 382 TWO WAY IN-CEILING LOUDSPEAKER - 8 OHM,INDIGENOUS,PROJECT MATERIALS,NOS
BOWERS AND WILKINS (B/W) AM-1 - WHITE 2-WAY WEATHERPROOF INDOOR/OUTDOOR SYSTEM,BOWERS AND WILKINS (B/W) AM-1 - WHITE 2-WAY WEATHERPROOF INDOOR/OUTDOOR SYSTEM,INDIGENOUS,PROJECT MATERIALS,NOS
BOYS SHIRT,BOYS SHIRT,INDIGENOUS,PROJECT MATERIALS,NOS
BOYS SHORT PANT,BOYS SHORT PANT,INDIGENOUS,PROJECT MATERIALS,NOS
BRASS BEEDING 6 MM,BRASS BEEDING 6 MM,INDIGENOUS,PROJECT MATERIALS,SFT
BRASS CYLINDER 90 MM,BRASS CYLINDER 90 MM,INDIGENOUS,PROJECT MATERIALS,NOS
BRASS FORGED MORTISE HANDLE ANTIQ MADE IN EUROPE,BRASS FORGED MORTISE HANDLE ANTIQ MADE IN EUROPE,INDIGENOUS,PROJECT MATERIALS,Pairs
BRASS HINGES 6 INCH X 1 Â¼ X 1 1/8,BRASS HINGES 6 INCH X 1 Â¼ X 1 1/8,INDIGENOUS,PROJECT MATERIALS,NOS
BRASS HINGES TARA 6X1 Â¼ X 3/16,BRASS HINGES TARA 6X1 Â¼ X 3/16,INDIGENOUS,PROJECT MATERIALS,NOS
BRASS SOCKET 3/4 INCH X1/2 INCH,BRASS SOCKET 3/4 INCH X1/2 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
BRICKS-PROJECT WORK,BRICKS-PROJECT WORK,INDIGENOUS,PROJECT MATERIALS,NOS
BUCKET ELEVATOR BC-25-4150-12A AND 12B WITH MAGNETIC SEPERATOR(15A AND 15B),BUCKET ELEVATOR BC-25-4150-12A AND 12B WITH MAGNETIC SEPERATOR(15A AND 15B),INDIGENOUS,PROJECT MATERIALS,NOS
BUS DUCT FOR 1010 KVA DIESEL GENERATOR,BUS DUCT FOR 1010 KVA DIESEL GENERATOR,INDIGENOUS,PROJECT MATERIALS,MTRS
BUS DUCT OUT DOOR TYPE,BUS DUCT OUT DOOR TYPE,INDIGENOUS,PROJECT MATERIALS,MTRS
C AND S/ACB 1600A 3 POLE 60KA DRAWOUT TYPE,C AND S/ACB 1600A 3 POLE 60KA DRAWOUT TYPE,INDIGENOUS,PROJECT MATERIALS,NOS
C O A L,C O A L,INDIGENOUS,FUELS,KGS
C-PVC BALL VALVE 1 INCH SPEARS,C-PVC BALL VALVE 1 INCH SPEARS,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC BALL VALVE 2 INCH SPEARS,C-PVC BALL VALVE 2 INCH SPEARS,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC BRASS ELBOW 3/4 INCH X1/2 INCH,C-PVC BRASS ELBOW 3/4 INCH X1/2 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC BRASS MTA 3/4 INCH X1/2 INCH,C-PVC BRASS MTA 3/4 INCH X1/2 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC BRASS TEE 3/4 INCH X1/2 INCH,C-PVC BRASS TEE 3/4 INCH X1/2 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC BUSHING 1 1/2 INCH X 1 INCH,C-PVC BUSHING 1 1/2 INCH X 1 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC BUSHING 1 1/2 INCH X 3/4 INCH,C-PVC BUSHING 1 1/2 INCH X 3/4 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC BUSHING 1 INCH X 3/4 INCH,C-PVC BUSHING 1 INCH X 3/4 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC BUSHING 2 INCH X 1 1/2 INCH,C-PVC BUSHING 2 INCH X 1 1/2 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC BUSHING 2 INCH X 1 INCH,C-PVC BUSHING 2 INCH X 1 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC COUPLER 1 1/2 INCH,C-PVC COUPLER 1 1/2 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC COUPLER 1 INCH,C-PVC COUPLER 1 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC COUPLER 2 INCH,C-PVC COUPLER 2 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC COUPLER 3/4 INCH,C-PVC COUPLER 3/4 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC ELBOW 1 1/2 INCH,C-PVC ELBOW 1 1/2 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC ELBOW 1 INCH,C-PVC ELBOW 1 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC ELBOW 2 INCH,C-PVC ELBOW 2 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC ELBOW 3/4 INCH,C-PVC ELBOW 3/4 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC END CAP 1 1/2 INCH,C-PVC END CAP 1 1/2 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC END CAP 1 INCH,C-PVC END CAP 1 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC END CAP 2 INCH,C-PVC END CAP 2 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC END CAP 3/4 INCH,C-PVC END CAP 3/4 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC F.A.T. BRASS 1 1/2 INCH,C-PVC F.A.T. BRASS 1 1/2 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC F.A.T. BRASS 3/4 INCH X 1/2 INCH,C-PVC F.A.T. BRASS 3/4 INCH X 1/2 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC M.A.T BRASS 2 INCH,C-PVC M.A.T BRASS 2 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC M.A.T. BRASS 1 1/2 INCH,C-PVC M.A.T. BRASS 1 1/2 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC M.A.T. BRASS 1 INCH,C-PVC M.A.T. BRASS 1 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC M.A.T. BRASS 3/4 INCH X 1/2 INCH,C-PVC M.A.T. BRASS 3/4 INCH X 1/2 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC PIPE SDR 11 1 1/2 INCHES,C-PVC PIPE SDR 11 1 1/2 INCHES,INDIGENOUS,PROJECT MATERIALS,MTRS
C-PVC PIPE SDR 11 2 INCHES,C-PVC PIPE SDR 11 2 INCHES,INDIGENOUS,PROJECT MATERIALS,MTRS
"C-PVC PIPE SDR 11, 1 INCHES","C-PVC PIPE SDR 11, 1 INCHES",INDIGENOUS,PROJECT MATERIALS,MTRS
"C-PVC PIPE SDR 11, 3/4 INCHES","C-PVC PIPE SDR 11, 3/4 INCHES",INDIGENOUS,PROJECT MATERIALS,MTRS
C-PVC PLUG 1/2 INCH,C-PVC PLUG 1/2 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC RED TEE 1 1/2 INCH X 1 INCH,C-PVC RED TEE 1 1/2 INCH X 1 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC RED TEE 1 INCH X 3/4 INCH,C-PVC RED TEE 1 INCH X 3/4 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC SOLVANT 237 MI,C-PVC SOLVANT 237 MI,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC TEE 1 1/2 INCH,C-PVC TEE 1 1/2 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC TEE 1 INCH,C-PVC TEE 1 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC TEE 2 INCH,C-PVC TEE 2 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C-PVC TEE 3/4 INCH,C-PVC TEE 3/4 INCH,INDIGENOUS,PROJECT MATERIALS,NOS
C.T. 25/5,C.T. 25/5,INDIGENOUS,PROJECT MATERIALS,NOS
C.T. 40/5,C.T. 40/5,INDIGENOUS,PROJECT MATERIALS,NOS
"C.T.OPERATING RELAY,100 TO 140A, T1 135DU 135,ABB","C.T.OPERATING RELAY,100 TO 140A, T1 135DU 135,ABB",INDIGENOUS,PROJECT MATERIALS,NOS
C0999HIDET02N/A0 UPHOLSTERY LEATHER POS. NO:02,C0999HIDET02N/A0 UPHOLSTERY LEATHER POS. NO:02,INDIGENOUS,PROJECT MATERIALS,SFT
C0999NEWAG01N/A0 CHAIR POS. No:01,C0999NEWAG01N/A0 CHAIR POS. No:01,INDIGENOUS,PROJECT MATERIALS,NOS
C0999WARWI01N/A0 UPHOLSTERY FABRIC POS. NO:01,C0999WARWI01N/A0 UPHOLSTERY FABRIC POS. NO:01,INDIGENOUS,PROJECT MATERIALS,MTRS
CABIN MAIN TABLE 1500W*750D*750HT,CABIN MAIN TABLE 1500W*750D*750HT,INDIGENOUS,PROJECT MATERIALS,NOS
CABIN MAIN TABLE 2100W*750D*750HT,CABIN MAIN TABLE 2100W*750D*750HT,INDIGENOUS,PROJECT MATERIALS,NOS
CABINET 2400 X 450 DINING CABINET FINISHED IN MATT FINISH VENEER AND FABRIC WITH METAL END CAPS,CABINET 2400 X 450 DINING CABINET FINISHED IN MATT FINISH VENEER AND FABRIC WITH METAL END CAPS,INDIGENOUS,PROJECT MATERIALS,NOS
CABLE GLAND 16 SQ MM CABLE (25 MM),CABLE GLAND 16 SQ MM CABLE (25 MM),INDIGENOUS,PROJECT MATERIALS,NOS
CABLE GLAND 50 SQ MM CABLE (32 MM),CABLE GLAND 50 SQ MM CABLE (32 MM),INDIGENOUS,PROJECT MATERIALS,NOS
CABLE TIES 100 MM LONG,CABLE TIES 100 MM LONG,INDIGENOUS,PROJECT MATERIALS,Pkt
CABLE TIES 200 MM LONG,CABLE TIES 200 MM LONG,INDIGENOUS,PROJECT MATERIALS,Pkt
CABLE TIES 50 MM LONG,CABLE TIES 50 MM LONG,INDIGENOUS,PROJECT MATERIALS,Pkt
CALACATTA ORO-9333,CALACATTA ORO-9333,INDIGENOUS,PROJECT MATERIALS,SFT
CANARY BNC FULL GOLD PVC CAP,CANARY BNC FULL GOLD PVC CAP,INDIGENOUS,PROJECT MATERIALS,NOS
CANARY D.C.POWER,CANARY D.C.POWER,INDIGENOUS,PROJECT MATERIALS,NOS
CAPACITOR BANK PANEL 200KVAR,CAPACITOR BANK PANEL 200KVAR,INDIGENOUS,PROJECT MATERIALS,NOS
CAPITAL COLLECTION (BESOPKE) DINING TABLE LOIC OVAL FOR A SIZE OF 360 X 120 X H 76 CM FINISH AS IN P,CAPITAL COLLECTION (BESOPKE) DINING TABLE LOIC OVAL FOR A SIZE OF 360 X 120 X H 76 CM FINISH AS IN P,INDIGENOUS,PROJECT MATERIALS,NOS
CAPITAL COLLECTION DINING CHAIR GALA AS IN PICTURE FOR A SIZE OF 61 X 61 X H 85 CM,CAPITAL COLLECTION DINING CHAIR GALA AS IN PICTURE FOR A SIZE OF 61 X 61 X H 85 CM,INDIGENOUS,PROJECT MATERIALS,NOS
CASEMENT DOOR (2 PENAL OPEN) WITH TOP FIXED)FROM PVC SHEET ESPAG 3.75 WIDTH X 9 HEIGHT,CASEMENT DOOR (2 PENAL OPEN) WITH TOP FIXED)FROM PVC SHEET ESPAG 3.75 WIDTH X 9 HEIGHT,INDIGENOUS,PROJECT MATERIALS,SFT
CASEMENT DOOR 1-PANEL OPEN TOP 6MM CLEAR GLASS AND BOTTOM 6MM PVC SHEET W 2.75 FT X 7.0 FT,CASEMENT DOOR 1-PANEL OPEN TOP 6MM CLEAR GLASS AND BOTTOM 6MM PVC SHEET W 2.75 FT X 7.0 FT,INDIGENOUS,PROJECT MATERIALS,SFT
CASEMENT DOOR 2-PANEL OPEN TOP 6MM CLEAR GLASS AND BOTTOM 6MM PVC SHEET W 4.0 FT X 7.0 FT,CASEMENT DOOR 2-PANEL OPEN TOP 6MM CLEAR GLASS AND BOTTOM 6MM PVC SHEET W 4.0 FT X 7.0 FT,INDIGENOUS,PROJECT MATERIALS,SFT
CASEMENT DOOR 2-PANEL OPEN TOP 6MM CLEAR GLASS AND BOTTOM 6MM PVC SHEET W 6.0 FT X 7.0 FT,CASEMENT DOOR 2-PANEL OPEN TOP 6MM CLEAR GLASS AND BOTTOM 6MM PVC SHEET W 6.0 FT X 7.0 FT,INDIGENOUS,PROJECT MATERIALS,SFT
CASEMENT WINDOWS 2-PANEL OPEN 6MM CLEAR 6MM PVC SHEET W 4.0 FT X H 4.0 FT,CASEMENT WINDOWS 2-PANEL OPEN 6MM CLEAR 6MM PVC SHEET W 4.0 FT X H 4.0 FT,INDIGENOUS,PROJECT MATERIALS,SFT
CATALYST,CATALYST,INDIGENOUS,PROJECT MATERIALS,LTS
Catalyzal - Briquette Activiser,Catalyzal - Briquette Activiser,INDIGENOUS,FUELS,KGS
CATLYST FRP,CATLYST FRP,INDIGENOUS,PROJECT MATERIALS,LTS
Cava Fluted Side Table 500 Dia x 500 H (Stone - White carrara (Honed)Metal - Brass brushed),Cava Fluted Side Table 500 Dia x 500 H (Stone - White carrara (Honed)Metal - Brass brushed),INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEET OFF WHITE 0.300 MTR L X 1.100 MTR W X 0.50 THICK,CC SHEET OFF WHITE 0.300 MTR L X 1.100 MTR W X 0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEET OFF WHITE 0.500 MTR L X 1.100 MTR W X 0.50 THICK,CC SHEET OFF WHITE 0.500 MTR L X 1.100 MTR W X 0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEET OFF WHITE 0.700 MTR L X 1.100 MTR W X 0.50 THICK,CC SHEET OFF WHITE 0.700 MTR L X 1.100 MTR W X 0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEET OFF WHITE 0.900 MTR L X 1.100 MTR W X 0.50 THICK,CC SHEET OFF WHITE 0.900 MTR L X 1.100 MTR W X 0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEET OFF WHITE 1.100 MTR L X 1.100 MTR W X 0.50 THICK,CC SHEET OFF WHITE 1.100 MTR L X 1.100 MTR W X 0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEET OFF WHITE 1.300 MTR L X 1.100 MTR W X 0.50 THICK,CC SHEET OFF WHITE 1.300 MTR L X 1.100 MTR W X 0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEET OFF WHITE 1.500 MTR L X 1.100 MTR W X 0.50 THICK,CC SHEET OFF WHITE 1.500 MTR L X 1.100 MTR W X 0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEET OFF WHITE 1.900 MTR L X 1.100 MTR W X 0.50 THICK,CC SHEET OFF WHITE 1.900 MTR L X 1.100 MTR W X 0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEET OFF WHITE 2.100 MTR L X 1.100 MTR W X 0.50 THICK,CC SHEET OFF WHITE 2.100 MTR L X 1.100 MTR W X 0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEET OFF WHITE 2.300 MTR L X 1.100 MTR W X 0.50 THICK,CC SHEET OFF WHITE 2.300 MTR L X 1.100 MTR W X 0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEET OFF WHITE 2.500 MTR L X 1.100 MTR W X 0.50 THICK,CC SHEET OFF WHITE 2.500 MTR L X 1.100 MTR W X 0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEET OFF WHITE 4 FT X 8 FT X 0.5 MM THICK,CC SHEET OFF WHITE 4 FT X 8 FT X 0.5 MM THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEET OFF WHITE 4.100 MTR L X 1.100 MTR W X 0.50 THICK,CC SHEET OFF WHITE 4.100 MTR L X 1.100 MTR W X 0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEET OFF WHITE 4.27 MTR L X 1.100 MTR W X 0.50 THICK,CC SHEET OFF WHITE 4.27 MTR L X 1.100 MTR W X 0.50 THICK,INDIGENOUS,PROJECT MATERIALS,SQMTRS
CC SHEET OFF WHITE 5.49 MTR L X 1.100 MTR W X 0.50 THICK,CC SHEET OFF WHITE 5.49 MTR L X 1.100 MTR W X 0.50 THICK,INDIGENOUS,PROJECT MATERIALS,SQMTRS
CC SHEET OFF WHITE 6.900 MTR L X 1.100 MTR W X 0.50 THICK,CC SHEET OFF WHITE 6.900 MTR L X 1.100 MTR W X 0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEET PLAIN 4 FT X 8 FT X 0.5 MM THICK,CC SHEET PLAIN 4 FT X 8 FT X 0.5 MM THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEET TORRES BLUE 1.700 MTR L X 1.100 MTR W X 0.50 THICK,CC SHEET TORRES BLUE 1.700 MTR L X 1.100 MTR W X 0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEET-OFF WHITE-(CRIMP 370 MM) 3.170 MTR L X 1.100 MTR W X 0.50 THICK,CC SHEET-OFF WHITE-(CRIMP 370 MM) 3.170 MTR L X 1.100 MTR W X 0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEET-OFF WHITE-(CRIMP 370 MM) 3.470 MTR L X 1.100 MTR W X 0.50 THICK,CC SHEET-OFF WHITE-(CRIMP 370 MM) 3.470 MTR L X 1.100 MTR W X 0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEET-T.B-(CRIMP 370 MM) TORRES BLUE 3.170 MTR L X 1.100 MTR W X 0.50 THICK,CC SHEET-T.B-(CRIMP 370 MM) TORRES BLUE 3.170 MTR L X 1.100 MTR W X 0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEET-T.B-(CRIMP 370 MM) TORRES BLUE 3.470 MTR L X 1.100 MTR W X 0.50 THICK,CC SHEET-T.B-(CRIMP 370 MM) TORRES BLUE 3.470 MTR L X 1.100 MTR W X 0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEETS - OFF WHITE CRIMP-3.550 MTR X 1.100 MTR X 0.50 MM THICK,CC SHEETS - OFF WHITE CRIMP-3.550 MTR X 1.100 MTR X 0.50 MM THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEETS - OFF WHITE CRIMP-6.53 MTR X 1.100 MTR X 0.50MM THICK,CC SHEETS - OFF WHITE CRIMP-6.53 MTR X 1.100 MTR X 0.50MM THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEETS - TARRUS BLUE -CRIMP - 3.550 MTR X 1.100 MTR X 0.50 MM THICK,CC SHEETS - TARRUS BLUE -CRIMP - 3.550 MTR X 1.100 MTR X 0.50 MM THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEETS -TARRUS BLUE -CRIMP- 6.53 MTR X 1.1 MTR X 0.50 MM THICK,CC SHEETS -TARRUS BLUE -CRIMP- 6.53 MTR X 1.1 MTR X 0.50 MM THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEETS- OFF WHITE - L-1.00 MTR x W-1.1 MTR XÂ  0.50 THICK,CC SHEETS- OFF WHITE - L-1.00 MTR x W-1.1 MTR XÂ  0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEETS- OFF WHITE - L-1.40 MTR x W-1.1 MTR XÂ  0.50 THICK,CC SHEETS- OFF WHITE - L-1.40 MTR x W-1.1 MTR XÂ  0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEETS- OFF WHITE - L-1.70 MTR x W-1.1 MTR XÂ  0.50 THICK,CC SHEETS- OFF WHITE - L-1.70 MTR x W-1.1 MTR XÂ  0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEETS- OFF WHITE - L-2.70 MTR x W-1.1 MTR XÂ  0.50 THICK,CC SHEETS- OFF WHITE - L-2.70 MTR x W-1.1 MTR XÂ  0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEETS- OFF WHITE-END CRIMP 250 - L-3.26 MTR x W-1.1 MTR XÂ  0.50 THICK,CC SHEETS- OFF WHITE-END CRIMP 250 - L-3.26 MTR x W-1.1 MTR XÂ  0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEETS- OFF WHITE-HALF ROUND - L-6.4 MTR x W-1.1 MTR XÂ  0.50 THICK,CC SHEETS- OFF WHITE-HALF ROUND - L-6.4 MTR x W-1.1 MTR XÂ  0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEETS- TORRES BLUE-END CRIMP 250 - L-3.26 MTR x W-1.1 MTR XÂ  0.50 THICK,CC SHEETS- TORRES BLUE-END CRIMP 250 - L-3.26 MTR x W-1.1 MTR XÂ  0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEETS- TORRES BLUE-HALF ROUND - L-6.4 MTR x W-1.1 MTR XÂ  0.50 THICK,CC SHEETS- TORRES BLUE-HALF ROUND - L-6.4 MTR x W-1.1 MTR XÂ  0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CC SHEETS-TORRES BLUEÂ  - L-2.10 MTR x W-1.1 MTR XÂ  0.50 THICK,CC SHEETS-TORRES BLUEÂ  - L-2.10 MTR x W-1.1 MTR XÂ  0.50 THICK,INDIGENOUS,PROJECT MATERIALS,NOS
CCTV CAMERAS AND ACCESSORIES,CCTV CAMERAS AND ACCESSORIES,INDIGENOUS,PROJECT MATERIALS,NOS
CCTV SYSTEM,CCTV SYSTEM,INDIGENOUS,PROJECT MATERIALS,NOS
CEMENT (KAKATIYA BRAND),CEMENT (KAKATIYA BRAND),INDIGENOUS,PROJECT MATERIALS,BAGS
CEMENT (KAKATIYA),CEMENT (KAKATIYA),INDIGENOUS,PROJECT MATERIALS,NOS
CEMENT BRICKS,CEMENT BRICKS,INDIGENOUS,PROJECT MATERIALS,NOS
CEMENT CONCRETE BRICKS,CEMENT CONCRETE BRICKS,INDIGENOUS,PROJECT MATERIALS,SFT
CEMENT PIPE 1 FEET,CEMENT PIPE 1 FEET,INDIGENOUS,PROJECT MATERIALS,MTRS
CEMENT POLES 6 INCH X 6 INCH X 10 FEET,CEMENT POLES 6 INCH X 6 INCH X 10 FEET,INDIGENOUS,PROJECT MATERIALS,NOS
CEMENT POLES 6 INCH X 6 INCH X 8 FEET,CEMENT POLES 6 INCH X 6 INCH X 8 FEET,INDIGENOUS,PROJECT MATERIALS,NOS
CEMENT RINGS 1 FEET X 3 FEET DIA,CEMENT RINGS 1 FEET X 3 FEET DIA,INDIGENOUS,PROJECT MATERIALS,NOS
CEMENT-PROJECT WORK,CEMENT-PROJECT WORK,INDIGENOUS,PROJECT MATERIALS,NOS
CEMNET VENTILATOR 1 X 2 FEET,CEMNET VENTILATOR 1 X 2 FEET,INDIGENOUS,PROJECT MATERIALS,NOS
CENTRAL TRUNK LINE SYSTEM - NEW SUPPLY AND MODIFICATION,CENTRAL TRUNK LINE SYSTEM - NEW SUPPLY AND MODIFICATION,INDIGENOUS,PROJECT MATERIALS,NOS
CENTRE TABLE 1500 X 900 TOP IN STONE WITH BASE IN METAL,CENTRE TABLE 1500 X 900 TOP IN STONE WITH BASE IN METAL,INDIGENOUS,PROJECT MATERIALS,NOS
CENTRIFUGAL WATER PUMP 3 PH 525LPM AT 15M HEAD,CENTRIFUGAL WATER PUMP 3 PH 525LPM AT 15M HEAD,INDIGENOUS,PROJECT MATERIALS,NOS
CFL 18 W,CFL 18 W,INDIGENOUS,PROJECT MATERIALS,NOS
CFW 101 CONCRETE FLOOR,CFW 101 CONCRETE FLOOR,INDIGENOUS,PROJECT MATERIALS,NOS
CFW 108 CONCRETE FLOOR,CFW 108 CONCRETE FLOOR,INDIGENOUS,PROJECT MATERIALS,NOS
CHAIN CONVEYOR FL-20-1050,CHAIN CONVEYOR FL-20-1050,IMPORTED,PROJECT MATERIALS,NOS
CHAIN CONVEYOR FL-20-1100,CHAIN CONVEYOR FL-20-1100,IMPORTED,PROJECT MATERIALS,NOS
CHAIN CONVEYOR FL-20-500,CHAIN CONVEYOR FL-20-500,IMPORTED,PROJECT MATERIALS,NOS
CHAIN CONVEYOR FL-20-660,CHAIN CONVEYOR FL-20-660,IMPORTED,PROJECT MATERIALS,NOS
CHAIN CONVEYOR FL-20-720,CHAIN CONVEYOR FL-20-720,IMPORTED,PROJECT MATERIALS,NOS
CHAIN CONVEYOR FL-20-850,CHAIN CONVEYOR FL-20-850,IMPORTED,PROJECT MATERIALS,NOS
CHAIN CONVEYOR FL-20-900,CHAIN CONVEYOR FL-20-900,IMPORTED,PROJECT MATERIALS,NOS
CHAIN CONVEYOR FL-20-950,CHAIN CONVEYOR FL-20-950,IMPORTED,PROJECT MATERIALS,NOS
CHAIN CONVEYOR FL-24-1320,CHAIN CONVEYOR FL-24-1320,IMPORTED,PROJECT MATERIALS,NOS
CHAIN DRIVE SYSTEM,CHAIN DRIVE SYSTEM,INDIGENOUS,PROJECT MATERIALS,NOS
CHAIN SPROCKET 1 INCH X 16 TEETH,CHAIN SPROCKET 1 INCH X 16 TEETH,INDIGENOUS,PROJECT MATERIALS,NOS
CHAIN SPROCKET 1 INCH X 25 TEETH,CHAIN SPROCKET 1 INCH X 25 TEETH,INDIGENOUS,PROJECT MATERIALS,NOS
CHAIR BRACKET,CHAIR BRACKET,INDIGENOUS,PROJECT MATERIALS,NOS
