Material Name,Material Code,Item Category,Item Group,UOM
(553440344-00) FILTER ELEMENT,(553440344-00) FILTER ELEMENT,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553440484-00) SPACER - EH LOCK,(553440484-00) SPACER - EH LOCK,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553441120-00) PLATE - WHEEL GUARD RH,(553441120-00) PLATE - WHEEL GUARD RH,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553441169-00) IMPELLER COGGED BELT - AX27 720,(553441169-00) IMPELLER COGGED BELT - AX27 720,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553441294-00) SPACER - EH LOCK,(553441294-00) SPACER - EH LOCK,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553441296-00) SPRING TORSION - HOOD LOCK,(553441296-00) SPRING TORSION - HOOD LOCK,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553441387-00) SEAL SHAFT â€“ VDP,(553441387-00) SEAL SHAFT â€“ VDP,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553441388-00) SEAL SHAFT (TRUNNION) â€“ VDP,(553441388-00) SEAL SHAFT (TRUNNION) â€“ VDP,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553441548-00) INNER HOLDER - HD SPONGE DUST SEAL,(553441548-00) INNER HOLDER - HD SPONGE DUST SEAL,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553441549-00) OUTER HOLDER - HD SPONGE DUST SEAL,(553441549-00) OUTER HOLDER - HD SPONGE DUST SEAL,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553441550-00) RUBBER FLAP - HD SPONGE DUST SEAL,(553441550-00) RUBBER FLAP - HD SPONGE DUST SEAL,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553442057-00) PIVOT PIN - HST ZERO POS,(553442057-00) PIVOT PIN - HST ZERO POS,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
(553442058-00) END FORK - HST CABLE,(553442058-00) END FORK - HST CABLE,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
